l1,l2,manufacturer,title,flavors,volumes,inferred_l1,inferred_l2,identity_company,identity_item,source_titles,pick
반찬/간편식/대용식,간편식·도시락,CJ제일제당,비비고 차돌된장찌개,,460G,반찬/간편식/대용식|국/탕/찌개,찌개,씨제이,비비고차돌된장찌개,CJ 비비고 차돌된장찌개 460G,CJ제일제당|비비고차돌된장찌개
반찬/간편식/대용식,간편식·도시락,오뚜기,3분제육덮밥,매운맛,150G,즉석밥/볶음밥,볶음밥·컵밥,오뚜기,3분제육덮밥,3분제육덮밥매운맛150G,오뚜기|3분제육덮밥
반찬/간편식/대용식,간편식·도시락,오뚜기,3분햄버그스테이크,,140G,,,오뚜기,3분햄버그스테이크,오뚜기3분햄버그스테이크140G,오뚜기|3분햄버그스테이크
반찬/간편식/대용식,즉석반찬,동원F&B,양반소고기장조림,,110G,반찬/간편식/대용식,즉석반찬,동원fb,양반소고기장조림,동원 양반소고기장조림 110G,동원|소고기장조림
반찬/간편식/대용식,즉석반찬,오뚜기,옛날잡채용기,,76G,라면/면류|반찬/간편식/대용식,즉석반찬,오뚜기,옛날잡채용기,오뚜기옛날잡채용기,오뚜기|옛날잡채용기
국/탕/찌개,국,CJ제일제당,비비고 소고기미역국,,500G,반찬/간편식/대용식|국/탕/찌개,국,씨제이,비비고소고기미역국,CJ 비비고 소고기미역국 500G,CJ제일제당|비비고소고기미역국
국/탕/찌개,국,오뚜기,간편미역국,,47.5G,반찬/간편식/대용식|국/탕/찌개,국,오뚜기,간편미역국,오뚜기)간편미역국,오뚜기|간편미역국
국/탕/찌개,찌개,CJ제일제당,비비고 차돌된장찌개,,460G,반찬/간편식/대용식|국/탕/찌개,찌개,씨제이,비비고차돌된장찌개,CJ 비비고 차돌된장찌개 460G,CJ제일제당|비비고차돌된장찌개
국/탕/찌개,찌개,CJ제일제당,비비고돼지고기김치찌개,,460G,반찬/간편식/대용식|국/탕/찌개,찌개,씨제이,비비고돼지고기김치찌개,CJ제일제당)비비고돼지고기김치찌개460G,CJ제일제당|비비고돼지고기김치찌개
국/탕/찌개,찌개,동원F&B,양반돼지고기김치찌개,,460G,반찬/간편식/대용식|국/탕/찌개,찌개,동원fb,양반돼지고기김치찌개,동원)양반돼지고기김치찌개,동원|양반돼지고기김치찌개
국/탕/찌개,탕,CJ제일제당,비비고진국설렁탕,,500G,반찬/간편식/대용식|국/탕/찌개,탕,씨제이,비비고진국설렁탕,CJ비비고진국설렁탕,CJ제일제당|비비고진국설렁탕
즉석밥/볶음밥,볶음밥·컵밥,CJ제일제당,햇반컵반 스팸마요덮밥,,219G,통조림/캔|반찬/간편식/대용식|즉석밥/볶음밥,햄·고기캔|볶음밥·컵밥,씨제이,햇반컵반스팸마요덮밥,CJ 햇반컵반 스팸마요덮밥 219G,CJ제일제당|햇반컵반스팸마요덮밥
즉석밥/볶음밥,볶음밥·컵밥,씨제이제일제당,햇반컵반불닭마요덮밥,,219G,즉석밥/볶음밥,볶음밥·컵밥,씨제이,햇반컵반불닭마요덮밥,씨제이)햇반컵반불닭마요덮밥,씨제이|햇반컵반불닭마요덮밥
즉석밥/볶음밥,볶음밥·컵밥,오뚜기,3분제육덮밥,매운맛,150G,즉석밥/볶음밥,볶음밥·컵밥,오뚜기,3분제육덮밥,3분제육덮밥매운맛150G,오뚜기|3분제육덮밥
즉석밥/볶음밥,볶음밥·컵밥,오뚜기,컵밥제육덮밥,,310G,즉석밥/볶음밥,볶음밥·컵밥,오뚜기,컵밥제육덮밥,오뚜기컵밥제육덮밥,오뚜기|컵밥제육덮밥
죽/스프,스프,오뚜기,야채스프,,80G,죽/스프,스프,오뚜기,야채스프,오뚜기야채스프80G,오뚜기|오뚜기야채스프80G
죽/스프,스프,오뚜기,콘크림스프,,270G,죽/스프,스프,오뚜기,콘크림스프,오뚜기)콘크림스프,오뚜기|콘크림스프
죽/스프,죽,CJ제일제당,비비고소고기죽,,450G,죽/스프,죽,씨제이,비비고소고기죽,CJ비비고소고기죽450G,CJ제일제당|비비고소고기죽
죽/스프,죽,동원F&B,양반 전복죽,,420G,죽/스프,죽,동원fb,양반전복죽,동원 양반 전복죽,동원|양반전복죽
죽/스프,죽,동원F&B,양반단호박죽,,287.5G|285G,죽/스프,죽,동원fb,양반단호박죽,동원)양반단호박죽287.5G,동원|양반단호박죽
분식/만두/피자,떡볶이·어묵,뽀로로매,콤떡볶이,,120G,분식/만두/피자,떡볶이·어묵,뽀로로매,콤떡볶이,뽀로로매콤떡볶이120G,뽀로로매|뽀로로매콤떡볶이
짜장/카레/돈까스,너겟·강정,오뚜기,화끈한닭강정화끈하게,매운맛,180G,짜장/카레/돈까스,너겟·강정,오뚜기,화끈한닭강정화끈하게,오뚜기화끈한닭강정화끈하게매운맛,오뚜기|화끈한닭강정
짜장/카레/돈까스,돈까스·커틀릿,오뚜기,경양식돈까스,,455G,짜장/카레/돈까스,돈까스·커틀릿,오뚜기,경양식돈까스,오뚜기 경양식돈까스 455G,오뚜기|경양식돈까스
짜장/카레/돈까스,짜장,삼양식품,맛이차이나짜장면,,560G,라면/면류|짜장/카레/돈까스,짜장,삼양식품,맛이차이나짜장면,삼양식품)맛이차이나짜장면,삼양|맛이차이나짜장면
짜장/카레/돈까스,짜장,오뚜기,3분짜장,,200G,짜장/카레/돈까스,짜장,오뚜기,3분짜장,오뚜기3분짜장200G,오뚜기|오뚜기3분짜장200G
짜장/카레/돈까스,카레,오뚜기,3분카레약간,매운맛,200G,짜장/카레/돈까스,카레,오뚜기,3분카레약간,오뚜기3분카레약간매운맛200G,오뚜기|오뚜기3분카레약간매운맛
짜장/카레/돈까스,카레,오뚜기,백세카레약간,매운맛,100G,짜장/카레/돈까스,카레,오뚜기,백세카레약간,오뚜기백세카레약간매운맛100G,오뚜기|백세카레약간매운맛100G
가루/조미료/오일,가루·분말,대한제분,곰표부침가루,,1KG,가루/조미료/오일,가루·분말,대한제분,곰표부침가루,곰표부침가루1KG,대한제분|곰표부침가루
가루/조미료/오일,가루·분말,오뚜기,부침가루,,1KG,가루/조미료/오일,가루·분말,오뚜기,부침가루,오뚜기부침가루1KG,오뚜기|오뚜기부침가루1KG
가루/조미료/오일,식용유·참기름,오뚜기,고소한참기름,,55ML,가루/조미료/오일,식용유·참기름,오뚜기,고소한참기름,오뚜기)고소한참기름,오뚜기|고소한참기름
가루/조미료/오일,식용유·참기름,해표,식용유,,250ML,가루/조미료/오일,식용유·참기름,해표,식용유,해표 식용유,해표|해표식용유
가루/조미료/오일,조미료,CJ제일제당,다시다쇠고기12T,,96G,가루/조미료/오일,조미료,씨제이,다시다쇠고기12t,CJ)다시다쇠고기12T96G,CJ제일제당|다시다쇠고기
가루/조미료/오일,조미료,대상,감칠맛미원,,100G,가루/조미료/오일,조미료,대상,감칠맛미원,대상감칠맛미원100G,대상|감칠맛미원
장류/소스,간장,샘표식품,진간장금F3,,500ML,장류/소스,간장,샘표식품,진간장금f3,샘표진간장금F3 500ML,샘표|진간장금F3
장류/소스,고추장·된장·쌈장,씨제이제일제당,해찬들고기전용쌈장,,450G,장류/소스,고추장·된장·쌈장,씨제이,해찬들고기전용쌈장,해찬들고기전용쌈장450G,씨제이|해찬들고기전용쌈장450G
장류/소스,고추장·된장·쌈장,씨제이제일제당,해찬들태양초고추장,,500G,장류/소스,고추장·된장·쌈장,씨제이,해찬들태양초고추장,해찬들태양초고추장500G,씨제이|해찬들태양초고추장500G
장류/소스,고추장·된장·쌈장,청정원,순창초고추장,,300G,장류/소스,고추장·된장·쌈장,청정원,순창초고추장,청정원순창초고추장300G,청정원|순창초고추장300G
장류/소스,소스·드레싱,오뚜기,고소한골드마요네즈,,800G,장류/소스,소스·드레싱,오뚜기,고소한골드마요네즈,오뚜기고소한골드마요네즈,오뚜기|골드마요네즈
장류/소스,소스·드레싱,오뚜기,토마토케찹,,800G,장류/소스,,오뚜기,토마토케찹,오뚜기)토마토케찹800G,오뚜기|토마토케찹800G
장류/소스,식초·맛술,CJ제일제당,백설건강발효현미식초,,500ML,장류/소스,식초·맛술,씨제이,백설건강발효현미식초,CJ 백설건강발효현미식초 500ML,CJ제일제당|백설건강발효현미식초
장류/소스,식초·맛술,대상,청정원맛술 (생강매실,,830ML,장류/소스,식초·맛술,대상,청정원맛술생강매실,대상 청정원맛술 830ML(생강매실),대상|청정원맛술
장류/소스,식초·맛술,오뚜기,양조식초,,500ML,장류/소스,식초·맛술,오뚜기,양조식초,오뚜기양조식초500ML,오뚜기|오뚜기양조식초
유제품/아이스크림,요거트·치즈·버터,매일유업,바이오드링킹요거트매실푸룬,,250ML,유제품/아이스크림,요거트·치즈·버터,매일유업,바이오드링킹요거트매실푸룬,매일바이오드링킹요거트매실푸룬,매일유업|바이오드링킹요거트
유제품/아이스크림,요거트·치즈·버터,빙그레,요구르트,,500ML,유제품/아이스크림,요거트·치즈·버터,빙그레,요구르트,빙그레요구르트,빙그레|요구르트
유제품/아이스크림,우유,남양유업,맛있는우유GT,,900ML,유제품/아이스크림,우유,남양유업,맛있는우유gt,남양맛있는우유GT,남양|맛있는우유GT
유제품/아이스크림,우유,매일유업,상하목장유기농우유,,200ML,유제품/아이스크림,우유,매일유업,상하목장유기농우유,매일상하목장유기농우유,매일유업|상하목장유기농우유
유제품/아이스크림,우유,서울우유,초콜릿,,200ML,과자/초콜릿/시리얼|유제품/아이스크림,초콜릿·캔디,서울우유,초콜릿,서울우유초콜릿,서울우유|서울우유
